user_id,film_id,rating
15,12,4
2,7,4
11,13,5
11,7,3
15,19,4
15,13,3
9,6,2
18,9,2
5,12,5
16,17,4
11,16,5
11,4,4
6,17,4
14,8,4
11,10,2
2,5,3
16,18,5
6,9,3
9,2,2
15,5,2
7,18,5
3,14,2
14,18,4
4,18,2
8,9,2
4,12,3
17,2,2
7,13,3
5,13,2
3,9,1
1,10,5
14,14,4
16,4,3
8,12,2
2,6,1
4,14,3
5,1,2
14,4,1
4,13,5
1,10,5
14,15,1
10,8,5
3,9,3
15,8,1
3,6,1
19,12,3
15,10,4
3,11,5
11,17,1
19,1,2
6,10,5
2,10,5
9,6,2
2,6,5
11,14,4
7,16,3
6,19,5
18,5,2
8,19,4
10,3,1
8,7,1
5,10,4
19,20,1
15,9,3
10,7,1
16,3,4
18,13,1
2,10,4
2,17,5
9,9,4
13,19,5
19,2,2
9,17,5
5,19,5
3,4,2
11,12,5
2,7,2
4,9,3
13,7,4
5,13,4
13,16,3
16,2,3
15,15,3
6,11,4
1,18,1
18,2,5
4,15,3
10,13,1
14,7,3
9,2,4
9,11,3
12,7,1
2,12,5
6,13,3
9,15,3
7,3,4
11,17,1
8,17,4
9,19,1
8,3,5
